@relation 'mxmh_survey_results1-weka.filters.unsupervised.attribute.NumericCleaner-min50.0-min-default50.0-max220.0-max-default220.0-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals-1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute Age numeric
@attribute 'While working' {Yes,No}
@attribute 'Fav genre' {Latin,Rock,'Video game music',Jazz,R&B,'K pop',Country,EDM,'Hip hop',Pop,Rap,Classical,Metal,Folk,Lofi,Gospel}
@attribute Exploratory {Yes,No}
@attribute Anxiety numeric
@attribute Depression numeric
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
18,Yes,Pop,Yes,4,5,Improve
13,Yes,Rock,Yes,7,10,Worsen
24,No,Metal,Yes,6,4,Improve
35,Yes,Rock,Yes,4,1,'No effect'
29,Yes,'Video game music',Yes,6,6,Improve
28,Yes,Rock,No,10,8,Improve
32,Yes,Pop,Yes,10,8,Improve
32,No,EDM,Yes,3,6,'No effect'
21,Yes,Rock,Yes,8,9,Improve
18,Yes,'Video game music',No,8,3,Improve
19,Yes,Classical,Yes,3,3,Improve
18,Yes,Pop,Yes,6,5,Improve
16,Yes,Pop,No,0,0,'No effect'
25,Yes,Pop,No,6,5,Improve
17,Yes,Lofi,Yes,3,8,Improve
16,Yes,Rap,Yes,1,8,'No effect'
27,Yes,Metal,Yes,5,6,Improve
53,Yes,Pop,Yes,0,0,Improve
25,Yes,EDM,No,0,8,Improve
34,No,Metal,No,3,7,Improve
22,Yes,Jazz,Yes,8,8,Improve
17,Yes,Jazz,Yes,5,2,Improve
26,Yes,Folk,Yes,8,8,Improve
19,Yes,EDM,Yes,6,8,Improve
21,Yes,Pop,Yes,6,8,Worsen
32,Yes,Rock,Yes,6,6,Improve
21,Yes,Rock,No,9,10,'No effect'
25,No,Pop,No,7,7,Improve
26,No,Rock,No,10,7,'No effect'
21,Yes,Metal,Yes,1,3,'No effect'
17,Yes,Pop,No,5,3,Improve
28,Yes,Rock,Yes,6,8,Improve
41,Yes,Pop,Yes,7,2,Improve
18,Yes,Metal,Yes,6,9,Improve
22,No,R&B,No,1,1,'No effect'
18,Yes,'K pop',No,0,2,?
49,Yes,EDM,Yes,8,8,Improve
21,Yes,Metal,Yes,3,3,'No effect'
27,Yes,Metal,Yes,8,8,Improve
19,No,Metal,Yes,6,4,'No effect'
27,Yes,Metal,Yes,1,0,Improve
27,Yes,Rock,No,5,5,Improve
19,Yes,'K pop',Yes,8,9,?
42,Yes,Rock,No,8,8,Improve
60,Yes,Gospel,No,3,0,Improve
19,Yes,Metal,No,0,5,'No effect'
20,Yes,Pop,Yes,6,3,Improve
28,No,Metal,No,1,7,Improve
16,No,'Video game music',Yes,4,2,'No effect'
18,Yes,R&B,No,5,6,'No effect'
34,Yes,Rock,Yes,1,0,'No effect'
18,Yes,Pop,Yes,8,6,Improve
21,Yes,Folk,Yes,9,4,Improve
38,No,Rock,Yes,4,6,Improve
17,Yes,Rock,No,7,3,Improve
35,No,Pop,No,10,3,'No effect'
21,Yes,Rock,No,8,8,Improve
25,Yes,R&B,No,7,6,Improve
18,Yes,'K pop',Yes,7,2,Improve
16,No,Pop,Yes,10,3.5,Improve
19,Yes,Pop,Yes,7,5,Improve
31,Yes,Classical,No,6,8,Improve
26,Yes,Rock,No,2,9,'No effect'
16,Yes,Rock,No,7,4,Improve
26,Yes,Rock,Yes,7,5,Improve
17,Yes,R&B,Yes,6,1,Improve
22,Yes,'Video game music',Yes,3,6,Improve
20,Yes,R&B,Yes,9,10,Improve
30,No,Rock,Yes,8,5,Improve
26,Yes,Pop,No,8,7,Improve
19,Yes,Rock,Yes,9,9,'No effect'
21,Yes,Country,Yes,9,8,Improve
33,Yes,Rock,Yes,9,3,Improve
28,Yes,Rock,Yes,10,8,Improve
25,Yes,Rock,Yes,9,6,Improve
22,Yes,Pop,No,7,7,Improve
19,Yes,Rock,Yes,9,10,Improve
44,Yes,Folk,Yes,9,9,Improve
22,Yes,Rock,No,9,10,Improve
26,Yes,Metal,Yes,10,9,Improve
23,Yes,Classical,No,6,5,Improve
17,No,R&B,No,8,6,Improve
