@relation mxmh_survey_results1-weka.filters.unsupervised.attribute.NumericCleaner-min50.0-min-default50.0-max220.0-max-default220.0-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals-1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.NominalToBinary

@attribute Age numeric
@attribute 'Primary streaming service=Spotify' numeric
@attribute 'Primary streaming service=Pandora' numeric
@attribute 'Primary streaming service=YouTube Music' numeric
@attribute 'Primary streaming service=I do not use a streaming service.' numeric
@attribute 'Primary streaming service=Apple Music' numeric
@attribute 'Primary streaming service=Other streaming service' numeric
@attribute 'Hours per day' numeric
@attribute 'While working=No' numeric
@attribute Instrumentalist=No numeric
@attribute Composer=No numeric
@attribute 'Fav genre=Latin' numeric
@attribute 'Fav genre=Rock' numeric
@attribute 'Fav genre=Video game music' numeric
@attribute 'Fav genre=Jazz' numeric
@attribute 'Fav genre=R&B' numeric
@attribute 'Fav genre=K pop' numeric
@attribute 'Fav genre=Country' numeric
@attribute 'Fav genre=EDM' numeric
@attribute 'Fav genre=Hip hop' numeric
@attribute 'Fav genre=Pop' numeric
@attribute 'Fav genre=Rap' numeric
@attribute 'Fav genre=Classical' numeric
@attribute 'Fav genre=Metal' numeric
@attribute 'Fav genre=Folk' numeric
@attribute 'Fav genre=Lofi' numeric
@attribute 'Fav genre=Gospel' numeric
@attribute Exploratory=No numeric
@attribute 'Foreign languages=No' numeric
@attribute BPM numeric
@attribute Anxiety numeric
@attribute Depression numeric
@attribute Insomnia numeric
@attribute OCD numeric
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
19,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,123.376789,9,8,2,3,Improve
17,1,0,0,0,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,5,6,6,1,Improve
16,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,75,0,0,0,0,'No effect'
18,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,120,3,2,1,1,Improve
21,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,89,6,8,0,2,Improve
17,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,123.376789,2,0,4,0,'No effect'
26,0,0,0,0,0,1,0.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,9,8,1,0,'No effect'
20,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,161,7,2,8,6,Improve
23,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,4,2,3,4,Improve
18,1,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,7,6,5,0,Improve
37,0,0,1,0,0,0,0.25,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147,3,2,10,0,'No effect'
17,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,120,6,6,8,2,Improve
18,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77,1,0,8,2,'No effect'
17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,118,7,3,1,5,Improve
36,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,132,8,9,3,0,'No effect'
24,1,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,9,6,4,3,Improve
18,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,157,7,9,5,0,Improve
19,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90,7,4,2,4,'No effect'
17,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,128,0,0,0,0,Improve
16,1,0,0,0,0,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,169,7,8,7,5,Improve
23,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,140,10,6,3,10,'No effect'
23,1,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,96,3,7,5,5,'No effect'
22,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,8,7,4,3,Improve
16,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,123.376789,0,0,1,3,Improve
18,1,0,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,8,6,2,10,'No effect'
